Names,isMale,isFemale
ΑΛΕΞΑΝΔΡΟΣ-ΠΕΤΡΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΡΑΦΑΗΛ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΣΩΤΗΡΙΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΧΑΡΑΛΑΜΠΟ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΧΡΗΣΤΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΧΡΥΣΟΒΑΛΑ,1,0
ΑΛΕΞΑΝΡΟΣ,1,0
ΑΛΕΞΑΝΤΑΡ,1,0
ΑΛΕΞΑΝΤΕΡ,1,0
ΑΛΕΞΑΝΤΡ,1,0
ΑΛΕΞΑΝΤΡΟΣ,1,0
ΑΛΕΞΑΝΤΡΟΥ,1,0
ΑΛΕΞΕΙ,1,0
ΑΛΕΞΗ,1,0
ΑΛΕΞΗΣ,1,0
ΑΛΕΞΙΑ,1,0
ΑΛΕΞΙΟΣ,1,0
ΑΛΕΞΙΟΣΓΕΩΡΓΙΟΣ,1,0
ΑΛΕΞΙΟΣΛΑΖΑΡΟΣ,1,0
ΑΛΕΞΙΟΣΜΑΡΚΟΣ,1,0
ΑΛΕΞΙΟΣ-ΔΗΜΗΤΡΙΟΣ,1,0
ΑΛΕΣΙΟ,1,0
ΑΛΗ,1,0
ΑΛΗΟΣΜΑΝ,1,0
ΑΛΗΣ,1,0
ΑΛΙ,1,0
ΑΛΙΚΗ,1,0
ΑΛΙΜΑΝ,1,0
ΑΛΚΕΤ,1,0
ΑΛΚΕΤΑΣ,1,0
ΑΛΚΗΣ,1,0
ΑΛΚΗΣ-ΑΘΑΝΑΣΙΟΣ,1,0
ΑΛΚΙ,1,0
ΑΛΚΙΒΙΑΔ,1,0
ΑΛΚΙΒΙΑΔΗΣ,1,0
ΑΛΚΙΝΟΟΣ,1,0
ΑΛΚΜΗΝΗ,1,0
ΑΛΚΥΩΝ,1,0
ΑΛΛΕΛΙΚΗ,1,0
ΑΛΛΕΞΑΝΔΡΟΣ,1,0
ΑΛΜΑ,1,0
ΑΛΜΗΡ,1,0
ΑΛΜΠΑΝ,1,0
ΑΛΜΠΕΡ,1,0
ΑΛΜΠΕΡΤ,1,0
ΑΛΜΠΙ,1,0
ΑΛΝΤΙ,1,0
ΑΛΝΤΟ,1,0
ΑΛΤΙΝ,1,0
ΑΛΤΙΝΑ,1,0
ΑΛΦΡΕΝΤ,1,0
ΑΛΧΑΣΣΑΝΕ,1,0
ΑΜΑΛΙΑ,1,0
ΑΜΑΝΑΤΙΟΣ,1,0
ΑΜΑΝΤΑΛΝΤΕΙΝ,1,0
ΑΜΑΝΤ-ΑΛΝΤΕΙΝ,1,0
ΑΜΑΡΙΛΝΤΟ,1,0
ΑΜΒΡΟΣΙΟΣ,1,0
ΑΜΒΡΟΣΙΟΣ-ΡΑΦΑΗΛ,1,0
ΑΜΕΤ,1,0
ΑΜΕΤΡΙΤΒΑΝ,1,0
ΑΜΙΝ,1,0
ΑΜΙΡΑΝ,1,0
ΑΜΜΑΡ,1,0
ΑΜΝΤΑΛΑ-ΘΕΟΦΙΛΟΣ,1,0
ΑΜΠΑΖ,1,0
ΑΜΠΑΡΤΣΟΥΜ,1,0
ΑΜΠΑΣ,1,0
ΑΜΠΑΣ-ΑΜΠΝΤΟΥΛΑΜΕΡ-ΣΑΡΕΦ,1,0
ΑΜΠΕΣΙ,1,0
ΑΜΠΙΤΗΝ,1,0
ΑΜΠΝΤΑΛΛΑ,1,0
ΑΜΠΝΤΕΛΡΑΧΜΑΝ,1,0
ΑΜΠΝΤΟΥΛ,1,0
ΑΜΠΝΤΟΥΛΚΑΝΤΙΡ,1,0
ΑΜΠΝΤΟΥΛΑΧ,1,0
ΑΜΠΟΥΜΠΑΚΕΡ,1,0
ΑΜΠΡΑΜ,1,0
ΑΜΠΡΑΡ,1,0
ΑΜΠΤΑΛΑ,1,0
ΑΜΥΓΔΑΛΙΑ,1,0
ΑΜΥΝΤΑΣ,1,0
ΑΜΦΙΘΕΑ,1,0
ΑΜΦΙΛΟΧΙΟΣ,1,0
ΑΜΦΙΛΟΧΟΣ,1,0
ΑΝΑΓΝΩΣΤΗΣ,1,0
ΑΝΑΔΟΧΟΣ,1,0
ΑΝΑΙΤ,1,0
ΑΝΑΚΡΕΩΝ,1,0
ΑΝΑΝΙΑΑ,1,0
ΑΝΑΝΙΑΣ,1,0
ΑΝΑΝΙΑΣΑΛΕΞΑΝΔΡΟΣ,1,0
ΑΝΑΡΓΥΡΟΣ,1,0
ΑΝΑΣΑΤΑΣΙΟΣ,1,0
ΑΝΑΣΤ,1,0
ΑΝΑΣΤΑ,1,0
ΑΝΑΣΤΑΑΣΙΟ,1,0
ΑΝΑΣΤΑΣΗΣ,1,0
ΑΝΑΣΤΑΣΙ,1,0
ΑΝΑΣΤΑΣΙΑ,1,0
ΑΝΑΣΤΑΣΙΟ,1,0
ΑΝΑΣΤΑΣΙΟΙΣ,1,0
ΑΝΑΣΤΑΣΙΟΣ,1,0
ΑΝΑΣΤΑΣΙΟΣΑΛΕΞΑΝΔΡΟΣ,1,0
ΑΝΑΣΤΑΣΙΟΣΘΕΟΦΙΛΟΣ,1,0
ΑΝΑΣΤΑΣΙΟΣΠΑΝΑΓΙΩΤΗΣ,1,0
ΑΝΑΣΤΑΣΙΟΣΧΡΙΣΤΟ,1,0
ΑΝΑΣΤΑΣΙΟΣ-ΒΑΡΘΟΛΟΜΙ,1,0
ΑΝΑΣΤΑΣΙΟΣ-ΓΕΩΡΓΙΟΣ,1,0
ΑΝΑΣΤΑΣΙΟΣ-ΔΗΜΗΤΡΙΟΣ,1,0
ΑΝΑΣΤΑΣΙΟΣ-ΕΥΑΓΓΕΛΟΣ,1,0
ΑΝΑΣΤΑΣΙΟΣ-ΡΑΦΑΗΛ,1,0
ΑΝΑΣΤΑΣΤΑΣΙΟΣ,1,0
ΑΝΑΣΤΑΣΤΙΟΣ,1,0
ΑΝΑΤΟΛΗ,1,0
ΑΝΑΤΟΛΗΣ,1,0
ΑΝΑΤΟΛΙ,1,0
ΑΝΑΤΟΛΙΟΣ,1,0
ΑΝΑΤΟΛΥ,1,0
ΑΝΒΑΡ,1,0
ΑΝΓΚΕΛ,1,0
ΑΝΓΚΕΛΟ,1,0
ΑΝΔΡΑΣ,1,0
ΑΝΔΡΕΑ,1,0
ΑΝΔΡΕΑΣ,1,0
ΑΝΔΡΕΑΣΓΕΩΡΓΙΟΣ,1,0
ΑΝΔΡΕΑΣΜΑΡΙΟΣ,1,0
ΑΝΔΡΕΑΣΠΑΝΑΓΙΩΤΗΣ,1,0
ΑΝΔΡΕΑΣΣΤΑΥΡΟΣ,1,0
ΑΝΔΡΕΑΣΧΕΛΜΟΥΤ,1,0
ΑΝΔΡΕΑΣ-ΓΑΒΡΙΗΛ,1,0
ΑΝΔΡΕΑΣ-ΔΗΜΗΤΡΙΟΣ,1,0
ΑΝΔΡΕΑΣ-ΠΡΟΔΡΟΜΟΣ,1,0
ΑΝΔΡΕΑΣ-ΦΙΛΙΠΠΟΣ-ΜΑΤ,1,0
ΑΝΔΡΙΑΝΦΡΑΝΤΖΙΣΚ,1,0
ΑΝΔΡΙΑΝΟΣ,1,0
ΑΝΔΡΙΚΟΣ,1,0
ΑΝΔΡΙΥ,1,0
ΑΝΔΡΟΓΙΑΝΝΗΣ,1,0
ΑΝΔΡΟΚΛΗΣ,1,0
ΑΝΔΡΟΜΑΧΗ,1,0
ΑΝΔΡΟΝΙΚ,1,0
ΑΝΔΡΟΝΙΚΗ,1,0
ΑΝΔΡΟΝΙΚΟΣ,1,0
ΑΝΔΡΟΝΙΚΟΣ-ΑΝΕΣΤΗΣ,1,0
ΑΝΕΣΤΗ,1,0
ΑΝΕΣΤΗΣ,1,0
ΑΝΕΣΤΗΣΧΡΗΣΤΟΣ,1,0
ΑΝΖΙΚ,1,0
ΑΝΘΗΜΟΣ,1,0
ΑΝΘΙΑ,1,0
ΑΝΘΙΜΟΣ,1,0
