,index,Names,isMale
6437,9240,ΣΤΕΦΑΝΟΥΛΑ,0
6438,9241,ΣΤΕΦΚΑ,0
6439,3923,ΣΤΗΒ,1
6440,9242,ΣΤΗΡΙΑΝΗ,0
6441,3925,ΣΤΙΛΙΑΝ,1
6442,9243,ΣΤΙΛΙΑΝΙ,0
6443,9244,ΣΤΟΓΙΑΝΝΑ,0
6444,3926,ΣΤΟΓΙΟΣ,1
6445,9245,ΣΤΟΙΚΑ,0
6446,3927,ΣΤΟΦΟΡ,1
6447,9246,ΣΤΡΑΤΗΓΟΥΛ,0
6448,9247,ΣΤΡΑΤΗΓΟΥΛΑ,0
6449,9248,ΣΤΡΑΤΗΓΩ,0
6450,3928,ΣΤΡΑΤΗΣ,1
6451,9249,ΣΤΡΑΤΙΑΝΘΗ,0
6452,3929,ΣΤΡΑΤΟΓΙΑΝΝΟΣ,1
6453,9250,ΣΤΡΑΤΟΝΙΚΗ,0
6454,3930,ΣΤΡΑΤΟΣ,1
6455,9251,ΣΤΥΙΑΝΗ,0
6456,3931,ΣΤΥΛΔΟΣ,1
6457,3933,ΣΤΥΛΙΑΝΗ,1
6458,9253,ΣΤΥΛΙΑΝΗΔΕΣΠΟΙΝΑ,0
6459,9254,ΣΤΥΛΙΑΝΗΜΑΡΙΑ,0
6460,3934,ΣΤΥΛΙΑΝΟ,1
6461,3936,ΣΤΥΛΙΑΝΟΣΓΕΩΡΓΙΟΣ,1
6462,3937,ΣΤΥΛΙΑΝΟΣΔΗΜΗΤΡΙΟΣ,1
6463,3938,ΣΤΥΛΙΑΝΟΣΠΑΡΑΣΚΕΥΑΣ,1
6464,3939,ΣΤΥΛΙΑΝΟΣΣΩΤΗΡΙΟΣ,1
6465,9259,ΣΤΥΛΛΙΑΝΗ,0
6466,3946,ΣΤΥΛΛΙΑΝΟΣ,1
6467,9260,ΣΤΥΜΦΑΛΙΑ,0
6468,3947,ΣΤΥΡΓΙΑΝΗ,1
6469,9261,ΣΤΥΡΓΙΑΝΗ,0
6470,9132,ΣΥΓΚΛΗΤΙΚΗ,0
6471,9262,ΣΥΖΑΝΕ,0
6472,9263,ΣΥΛΒΑΝΑ,0
6473,3948,ΣΥΛΒΕΣΤΡΟΣ,1
6474,9264,ΣΥΛΒΙΑ,0
6475,9265,ΣΥΛΒΙΑΜΩΡΗΝ,0
6476,9266,ΣΥΛΒΙΓΙΑ,0
6477,3949,ΣΥΛΙΑΝΟΣ,1
6478,9267,ΣΥΜΑ,0
6479,9268,ΣΥΜΒΑ,0
6480,3950,ΣΥΜΕΛΑ,1
6481,9270,ΣΥΜΕΛΛΑ,0
6482,9271,ΣΥΜΕΟΥΛΑ,0
6483,3955,ΣΥΜΕΩΝΙΑ,1
6484,3952,ΣΥΜΕΩΝΧΡΗΣΤΟΣ,1
6485,9272,ΣΥΜΗ,0
6486,9273,ΣΥΜΟΥΛΑ,0
6487,9274,ΣΥΝΘΙΑ,0
6488,9275,ΣΥΝΟΔΗ,0
6489,3956,ΣΥΝΟΔΗΣ,1
6490,9276,ΣΥΝΟΔΙΑ,0
6491,3957,ΣΥΝΟΔΙΝΟΣ,1
6492,9277,ΣΥΝΤΑΦΕΝΙΑ,0
6493,9278,ΣΥΡΑΓΟΥΛΑ,0
6494,9279,ΣΥΡΑΓΩ,0
6495,9280,ΣΥΡΒΑΡΤ,0
6496,4794,ΣΥΡΓΙΑΝΩ,0
6497,9281,ΣΥΡΓΙΝΑ,0
6498,9282,ΣΥΡΙΓΩ,0
6499,9283,ΣΥΡΜΑ,0
6500,9284,ΣΥΡΜΑΤΕΝΙΑ,0
6501,9285,ΣΥΡΜΑΤΗ,0
6502,9286,ΣΥΡΜΑΤΟΥΛΑ,0
6503,9287,ΣΥΡΜΑΤΩ,0
6504,9288,ΣΥΡΜΟΘΕΑ,0
6505,9289,ΣΥΡΜΟΥΔΑ,0
6506,9290,ΣΥΡΜΟΥΛΑ,0
6507,3958,ΣΧΑΔΑΔ,1
6508,3959,ΣΧΑΧΙΝ,1
6509,3960,ΣΧΕΛΚΙΜ,1
6510,3961,ΣΧΕΦΚΙ,1
6511,3962,ΣΧΚΕΛΚΟΥΙΜ,1
6512,9292,ΣΩΚΡΑΤΙΑ,0
6513,9293,ΣΩΝΑ,0
6514,9294,ΣΩΣΑΝΑ,0
6515,9295,ΣΩΣΑΝΝΑ,0
6516,9296,ΣΩΣΣΑΝΑ,0
6517,9297,ΣΩΣΣΑΝΝΑ,0
6518,3968,ΣΩΤΑ,1
6519,3969,ΣΩΤΗΡ,1
6520,9298,ΣΩΤΗΡΑ,0
6521,3970,ΣΩΤΗΡΑΚ,1
6522,3971,ΣΩΤΗΡΑΚΗ,1
6523,3972,ΣΩΤΗΡΑΚΗΣ,1
6524,3973,ΣΩΤΗΡΑΚΙ,1
6525,3975,ΣΩΤΗΡΗΣΚΩΝΣΤΑΝΤΙΝΟΣ,1
6526,3976,ΣΩΤΗΡΙΑ,1
6527,9300,ΣΩΤΗΡΙΑΑΝΝΑ,0
6528,9301,ΣΩΤΗΡΙΑΜΑΡΙΝΑ,0
6529,9302,ΣΩΤΗΡΙΟΣ,0
6530,3978,ΣΩΤΗΡΙΟΣΚΛΕΑΝΘΗΣ,1
6531,3979,ΣΩΤΗΡΙΟΣΜΑΡΙΟΣ,1
6532,3980,ΣΩΤΗΡΙΟΣΧΟΥΛΙΑΝ,1
6533,9303,ΣΩΤΗΡΚΑ,0
6534,9304,ΣΩΤΗΡΟΥΛΑ,0
6535,9305,ΣΩΤΗΡΟΥΛΛΑ,0
6536,3985,ΣΩΦΡΟΝ,1
6537,3986,ΣΩΦΡΟΝΑΣ,1
6538,9306,ΣΩΦΡΟΝΙΑ,0
6539,3987,ΣΩΦΡΟΝΙΟΣ,1
6540,3988,ΤΑΒΕΝ,1
6541,3989,ΤΑΒΗΘΑ,1
6542,3990,ΤΑΙΑ,1
6543,4351,ΤΑΙΜΠΑΝ,1
6544,3991,ΤΑΙΡ,1
6545,3992,ΤΑΙΣΙΡ,1
6546,9307,ΤΑΙΣΣΙΑ,0
6547,3993,ΤΑΙΧΟΥΝ,1
6548,3994,ΤΑΚΗ,1
6549,3995,ΤΑΚΗΣ,1
6550,3996,ΤΑΜΑΖ,1
6551,3997,ΤΑΜΑΖΙ,1
6552,9308,ΤΑΜΑΜΑ,0
6553,9309,ΤΑΜΑΡ,0
6554,3998,ΤΑΜΑΡΑ,1
6555,9311,ΤΑΜΑΡΑΘΩΜΑΗ,0
6556,9312,ΤΑΜΑΡΙ,0
6557,3999,ΤΑΜΕΡ,1
6558,9313,ΤΑΜΤΑ,0
6559,9314,ΤΑΝΑ,0
6560,9315,ΤΑΝΓΚΑ,0
6561,9316,ΤΑΝΕ,0
6562,4000,ΤΑΝΙΑ,1
6563,4001,ΤΑΝΙΟΥ,1
6564,9318,ΤΑΝΚΑ,0
6565,4002,ΤΑΝΡΙ,1
6566,4003,ΤΑΝΤΕΟΥΣ,1
6567,4004,ΤΑΝΥΓΙΟΥ,1
6568,9319,ΤΑΞΙΑΡΧΙΑ,0
6569,9320,ΤΑΞΙΑΡΧΟΥΛΑ,0
6570,4008,ΤΑΟΥΚΙΡ,1
6571,4009,ΤΑΟΥΛΑΝΙ,1
6572,4010,ΤΑΟΥΛΑΝΤ,1
6573,4011,ΤΑΡΙΕΛ,1
6574,4012,ΤΑΡΙΚ,1
6575,4013,ΤΑΡΣΗ,1
6576,9321,ΤΑΡΣΗ,0
6577,9322,ΤΑΡΣΙΑ,0
6578,9323,ΤΑΡΣΙΤΣΑ,0
6579,9324,ΤΑΡΣΟΥΛΑ,0
6580,9325,ΤΑΡΣΩ,0
6581,4014,ΤΑΣΑΓΟΥΑΡ,1
6582,4015,ΤΑΣΗ,1
6583,4016,ΤΑΣΙΜ,1
6584,4017,ΤΑΣΙΟΣ,1
6585,9326,ΤΑΣΙΟΥΛΑ,0
6586,4018,ΤΑΣΚΙΝ,1
6587,4019,ΤΑΣΟ,1
6588,4020,ΤΑΣΟΣ,1
6589,4021,ΤΑΣΟΥΛ,1
6590,9327,ΤΑΣΟΥΛΑ,0
6591,4022,ΤΑΣΟΥΛΑ,1
6592,4023,ΤΑΣΣΙΟΣ,1
6593,4024,ΤΑΣΣΟΣ,1
6594,9328,ΤΑΣΣΟΥΛΑ,0
6595,9329,ΤΑΤΑΙΑΝΑ,0
6596,4025,ΤΑΤΙΑΝΑ,1
6597,9333,ΤΑΤΙΑΝΗ,0
6598,9334,ΤΑΤΙΑΝΝΑ,0
6599,9335,ΤΑΤΤΖΑΝΑ,0
6600,4026,ΤΑΧΕΡ,1
6601,4027,ΤΑΧΗΡ,1
6602,4028,ΤΑΧΙΡ,1
6603,4029,ΤΑΧΣΙΝ,1
6604,4030,ΤΕ,1
6605,9336,ΤΕΑ,0
6606,4031,ΤΕΓΚΙΖ,1
6607,4032,ΤΕΙΜΟΥΡΑΖ,1
6608,9337,ΤΕΙΜΟΥΡΑΖ,0
6609,4033,ΤΕΙΜΟΥΡΑΣ,1
6610,4034,ΤΕΛΜΑΝ,1
6611,9338,ΤΕΜΙΝΤΑ,0
6612,4035,ΤΕΜΟΥΡ,1
6613,4036,ΤΕΜΟΥΡΙ,1
6614,4037,ΤΕΝΓΚΙΖ,1
6615,4038,ΤΕΝΓΚΙΣ,1
6616,9339,ΤΕΟΝΑ,0
6617,4039,ΤΕΟΝΤΟΡ,1
6618,9340,ΤΕΟΥΤΑ,0
6619,9342,ΤΕΡΕΖΑΑΝΔΡΙΑΝΝΗ,0
6620,9345,ΤΕΡΕΖΙΑ,0
6621,4040,ΤΕΡΕΦΕ,1
6622,9346,ΤΕΡΦΟΝΙΑ,0
6623,9347,ΤΕΡΨΙΘΕΑ,0
6624,9349,ΤΕΡΨΙΧΩΡΗ,0
6625,9350,ΤΕΤΙΑΝΑ,0
6626,4041,ΤΕΦΙΚ,1
6627,9351,ΤΕΦΤΑ,0
6628,4042,ΤΖΑΒΙΝΤ,1
6629,4043,ΤΖΑΒΙΤ,1
6630,4044,ΤΖΑΗΤ,1
6631,9352,ΤΖΑΙΝΗ,0
6632,4045,ΤΖΑΙΤ,1
6633,9353,ΤΖΑΚΕΛΙΝΜΑΙΡΗ,0
6634,4046,ΤΖΑΛΗ,1
6635,4050,ΤΖΑΜΠΕΡ,1
6636,9354,ΤΖΑΝΑΝ,0
6637,4052,ΤΖΑΝΓΚΕΡ,1
6638,9355,ΤΖΑΝΕΛΛΙ,0
6639,4053,ΤΖΑΝΕΡ,1
6640,9356,ΤΖΑΝΕΤ,0
6641,9358,ΤΖΑΝΕΤΑ,0
6642,9357,ΤΖΑΝΕΤΜΑΡΙΑ,0
6643,4054,ΤΖΑΝΕΤΟΣ,1
6644,4055,ΤΖΑΝΗΣ,1
6645,9359,ΤΖΑΝΙ,0
6646,4056,ΤΖΑΝΙ,1
6647,9360,ΤΖΑΝΙΚΟ,0
6648,9361,ΤΖΑΝΙΝΑ,0
6649,9362,ΤΖΑΝΝΑ,0
6650,4057,ΤΖΑΝΟΣ,1
6651,9363,ΤΖΑΡΙΕ,0
6652,4058,ΤΖΑΦΕΡ,1
6653,4059,ΤΖΕΒΑΙΡ,1
6654,4060,ΤΖΕΒΑΤ,1
6655,4061,ΤΖΕΒΑΧΙΡ,1
6656,9364,ΤΖΕΒΑΧΙΡΕ,0
6657,4062,ΤΖΕΒΔΕΤ,1
6658,4063,ΤΖΕΒΗΤ,1
6659,9365,ΤΖΕΒΙΔΕ,0
6660,4064,ΤΖΕΒΙΤ,1
6661,4065,ΤΖΕΒΝΤΕΤ,1
6662,9366,ΤΖΕΙΛΑΝ,0
6663,9367,ΤΖΕΙΜΥ,0
6664,4066,ΤΖΕΙΝΤΑ,1
6665,9368,ΤΖΕΙΝΤΑ,0
6666,4067,ΤΖΕΙΧΟΥΝ,1
6667,4068,ΤΖΕΛΑΙΝΤΙΝ,1
6668,4069,ΤΖΕΛΑΛ,1
6669,4070,ΤΖΕΛΗΛ,1
6670,4071,ΤΖΕΛΙΑΛ,1
6671,9369,ΤΖΕΛΙΝΕ,0
6672,4072,ΤΖΕΛΟΣ,1
6673,4073,ΤΖΕΜΑΛ,1
6674,9370,ΤΖΕΜΑΛΗ,0
6675,4074,ΤΖΕΜΑΛΗ,1
6676,4075,ΤΖΕΜΗΛ,1
6677,9371,ΤΖΕΜΙΛΕ,0
6678,4076,ΤΖΕΝΙΝΟ,1
6679,9376,ΤΖΕΝΣΙΛΑ,0
6680,9377,ΤΖΕΝΤΙ,0
6681,4077,ΤΖΕΝΤΙΑΝ,1
6682,4079,ΤΖΕΡΜΑΝΕ,1
6683,9378,ΤΖΕΣΙΚΑ,0
6684,9379,ΤΖΕΤΑ,0
6685,4080,ΤΖΕΤΜΙΡ,1
6686,4081,ΤΖΗΜΗ,1
6687,4082,ΤΖΙΑΝΟΣ,1
