,Names,isMale
385,ΒΑΣΙΛΕΙΑ,0
397,ΒΑΣΙΛΕΙΟΣ,1
402,ΒΑΣΙΛΕΙΟΣ,0
396,ΒΑΣΙΛΕΙΟΣ,1
403,ΒΑΣΙΛΕΙΟΣ,1
395,ΒΑΣΙΛΕΙΟΣ,1
394,ΒΑΣΙΛΕΙΟΣ,1
393,ΒΑΣΙΛΕΙΟΣ,1
392,ΒΑΣΙΛΕΙΟΣ,1
391,ΒΑΣΙΛΕΙΟΣ,1
390,ΒΑΣΙΛΕΙΟΣ,1
389,ΒΑΣΙΛΕΙΟΣ,1
387,ΒΑΣΙΛΕΙΟΣ,1
386,ΒΑΣΙΛΕΙΟΣ,1
398,ΒΑΣΙΛΕΙΟΣ,1
399,ΒΑΣΙΛΕΙΟΣ,1
400,ΒΑΣΙΛΕΙΟΣ,1
401,ΒΑΣΙΛΕΙΟΣ,1
388,ΒΑΣΙΛΕΙΟΣ,1
404,ΒΑΣΙΛΙ,0
405,ΒΑΣΙΛΙΚΑ,0
417,ΒΑΣΙΛΙΚΗ,0
407,ΒΑΣΙΛΙΚΗ,0
408,ΒΑΣΙΛΙΚΗ,0
409,ΒΑΣΙΛΙΚΗ,0
410,ΒΑΣΙΛΙΚΗ,0
411,ΒΑΣΙΛΙΚΗ,0
412,ΒΑΣΙΛΙΚΗ,0
413,ΒΑΣΙΛΙΚΗ,0
414,ΒΑΣΙΛΙΚΗ,0
415,ΒΑΣΙΛΙΚΗ,0
416,ΒΑΣΙΛΙΚΗ,0
418,ΒΑΣΙΛΙΚΗ,0
419,ΒΑΣΙΛΙΚΗ,0
406,ΒΑΣΙΛΙΚΗ,0
420,ΒΑΣΙΛΙΚΗΜΑΡΙΑ,0
421,ΒΕΑΤΡΙΚΗ,0
422,ΒΕΛΙΚΑ,0
423,ΒΕΛΛΙΟΣ,1
424,ΒΕΝΕΡΑ,0
425,ΒΕΝΕΤΙΑ,0
426,ΒΕΝΕΤΙΑ,0
427,ΒΕΝΙΖΕΛΟΣ,1
428,ΒΕΡΑ,0
429,ΒΕΡΑ,0
430,ΒΕΡΓΙΝΙΑ,0
431,ΒΕΡΖΙΝ,0
432,ΒΕΡΟΝΙΚΑ,0
433,ΒΕΡΟΝΙΚΗ,0
434,ΒΕΣΕΛΚΑ,0
435,ΒΗΘΛΕΕΜ,0
436,ΒΗΘΛΕΕΜ,0
437,ΒΗΣΣΑΡΙΩΝ,1
438,ΒΗΣΣΑΡΙΩΝ,1
441,ΒΙΚΤΩΡ,1
439,ΒΙΚΤΩΡ,1
440,ΒΙΚΤΩΡ,1
442,ΒΙΚΤΩΡΙΑ,0
443,ΒΙΚΤΩΡΙΑ,0
444,ΒΙΚΤΩΡΙΑ,0
445,ΒΙΚΤΩΡΙΑ,0
446,ΒΙΟΛΕΤΑ,0
447,ΒΛΑΔΙΜΗΡΟΣ,0
448,ΒΛΑΣΙΑ,0
450,ΒΛΑΣΙΟΣ,1
449,ΒΛΑΣΙΟΣ,1
452,ΒΥΡΩΝ,1
451,ΒΥΡΩΝ,1
453,ΒΥΡΩΝΑΣ,1
455,ΓΑΒΡΙΕΛΑ,0
454,ΓΑΒΡΙΕΛΑ,0
459,ΓΑΒΡΙΗΛ,1
457,ΓΑΒΡΙΗΛ,1
458,ΓΑΒΡΙΗΛ,1
456,ΓΑΒΡΙΗΛ,1
460,ΓΑΛΑΤΙΑ,0
461,ΓΑΛΗΝΗ,0
462,ΓΑΡΥΦΑΛΙΑ,0
