,Suffix 3,Female,Male,ASCII 1,ASCII 2,ASCII 3
1293,ΨΙΜ,0.0,1.0,151,136,139
1294,ΨΩΝ,0.0,1.0,151,152,140
1295,ΩΑΝ,0.0,1.0,152,128,140
1296,ΩΒΑ,0.0,1.0,152,129,128
1297,ΩΗΣ,0.0,2.0,152,134,146
1298,ΩΙΑ,1.0,0.0,152,136,128
1299,ΩΙΤ,0.0,1.0,152,136,147
1300,ΩΛΑ,1.0,0.0,152,138,128
1301,ΩΛΗ,0.0,1.0,152,138,134
1302,ΩΜΑ,0.0,1.0,152,139,128
1303,ΩΜΗ,4.0,0.0,152,139,134
1304,ΩΝΑ,14.0,0.0,152,140,128
1305,ΩΝΔ,0.0,1.0,152,140,131
1306,ΩΝΗ,8.0,1.0,152,140,134
1307,ΩΝΣ,0.0,1.0,152,140,146
1308,ΩΝΤ,1.0,0.0,152,140,147
1309,ΩΠΗ,3.0,1.0,152,143,134
1310,ΩΡΑ,25.0,0.0,152,144,128
1311,ΩΡΓ,0.0,1.0,152,144,130
1312,ΩΡΕ,1.0,0.0,152,144,132
1313,ΩΡΗ,1.0,0.0,152,144,134
1314,ΩΡΙ,0.0,1.0,152,144,136
1315,ΩΡΟ,0.0,2.0,152,144,142
1316,ΩΣΑ,1.0,0.0,152,146,128
1317,ΩΤΑ,7.0,1.0,152,147,128
1318,ΩΤΗ,2.0,1.0,152,147,134
1319,ΩΤΟ,1.0,0.0,152,147,142
1320,ΩΤΩ,1.0,0.0,152,147,152
1321,ΩΥΣ,0.0,1.0,152,148,146
1322,ΩΦΩ,1.0,0.0,152,149,152
