,full_name_1,full_name_2,broken_name,gender
797,Ευφημούλα,Ευφημούλα,Ευ-φη-μού-λα,Female
798,Ευφούλα,Ευφούλα,Ευ-φού-λα,Female
799,Ευφράσας,Ευφράσα,Ευ-φρά-σας,Male
800,Ευφράσης,Ευφράση,Ευ-φρά-σης,Male
801,Ευφράσιος,Ευφράσιε,Ευ-φρά-σι-ος,Male
802,Ευφραίμ,Ευφραίμ,Ευ-φραίμ,Male
803,Ευφραιμία,Ευφραιμία,Ευ-φραι-μία,Female
804,Ευφραιμίτσα,Ευφραιμίτσα,Ευ-φραι-μί-τσα,Female
805,Ευφρασία,Ευφρασία,Ευ-φρα-σία,Female
806,Ευφρασίτσα,Ευφρασίτσα,Ευ-φρα-σί-τσα,Female
807,Ευφροσύνα,Ευφροσύνα,Ευ-φρο-σύ-να,Female
808,Ευφροσύνη,Ευφροσύνη,Ευ-φρο-σύ-νη,Female
809,Ευφρόσυνος,Ευφρόσυνε,Ευ-φρό-συ-νος,Male
810,Ευψυχία,Ευψυχία,Ευ-ψυ-χία,Female
811,Ευψυχίτσα,Ευψυχίτσα,Ευ-ψυ-χί-τσα,Female
812,Ευψυχούλα,Ευψυχούλα,Ευ-ψυ-χού-λα,Female
813,Ευψύχης,Ευψύχη,Ευ-ψύ-χης,Male
814,Ευψύχιος,Ευψύχιε,Ευ-ψύ-χι-ος,Male
815,Εφραίμ,Εφραίμ,Ε-φραίμ,Male
816,Εφραίμης,Εφραίμη,Ε-φραί-μης,Male
817,Εφραίμιος,Εφραίμιε,Ε-φραί-μι-ος,Male
818,Εφραιμία,Εφραιμία,Ε-φραι-μία,Female
819,Εύα,Εύα,Εύ-α,Female
820,Εύη,Εύη,Εύ-η,Female
821,Εύκλεος,Εύκλεε,Εύ-κλε-ος,Male
822,Εύκρατος,Εύκρατε,Εύ-κρα-τος,Male
823,Εύπλοος,Εύπλοε,Εύ-πλο-ος,Male
824,Εύπλος,Εύπλο,Εύ-πλος,Male
825,Εύπλους,Εύπλους,Εύ-πλους,Male
826,Εύπραξος,Εύπραξε,Εύ-πρα-ξος,Male
827,Εύφη,Εύφη,Εύ-φη,Female
828,Εύφημη,Εύφημη,Εύ-φη-μη,Female
829,Εύφημος,Εύφημε,Εύ-φη-μος,Male
830,Εύψυχος,Εύψυχε,Εύ-ψυ-χος,Male
831,Ζάκης,Ζάκη,Ζά-κης,Male
832,Ζάκι,Ζάκι,Ζά-κι,Male
833,Ζάκχος,Ζάκχο,Ζάκ-χος,Male
834,Ζάχαρης,Ζάχαρη,Ζά-χα-ρης,Male
835,Ζάχαρος,Ζάχαρε,Ζά-χα-ρος,Male
836,Ζάχος,Ζάχο,Ζά-χος,Male
837,Ζέλια,Ζέλια,Ζέ-λια,Female
838,Ζένα,Ζένα,Ζέ-να,Female
839,Ζένας,Ζένα,Ζέ-νας,Male
840,Ζένια,Ζένια,Ζέ-νια,Female
841,Ζένος,Ζένο,Ζέ-νος,Male
842,Ζέπω,Ζέπω,Ζέ-πω,Female
843,Ζέτα,Ζέτα,Ζέ-τα,Female
844,Ζέττα,Ζέττα,Ζέτ-τα,Female
845,Ζήλη,Ζήλη,Ζή-λη,Female
846,Ζήλια,Ζήλια,Ζή-λια,Female
847,Ζήνα,Ζήνα,Ζή-να,Female
848,Ζήνος,Ζήνο,Ζή-νος,Male
849,Ζήνων,Ζήνων,Ζή-νων,Male
850,Ζήσης,Ζήση,Ζή-σης,Male
851,Ζήσιμος,Ζήσιμε,Ζή-σι-μος,Male
852,Ζακελίνα,Ζακελίνα,Ζα-κε-λί-να,Female
853,Ζακχαίος,Ζακχαίο,Ζακ-χαί-ος,Male
854,Ζαμπία,Ζαμπία,Ζα-μπία,Female
855,Ζαμπίνα,Ζαμπίνα,Ζα-μπί-να,Female
856,Ζανέτ,Ζανέτ,Ζα-νέτ,Male
857,Ζαννέτα,Ζαννέτα,Ζαν-νέ-τα,Female
858,Ζαννέτος,Ζαννέτο,Ζαν-νέ-τος,Male
859,Ζαννέττα,Ζαννέττα,Ζαν-νέτ-τα,Female
860,Ζαννέττος,Ζαννέττο,Ζαν-νέτ-τος,Male
861,Ζαφείρης,Ζαφείρη,Ζα-φεί-ρης,Male
862,Ζαφείριος,Ζαφείριε,Ζα-φεί-ρι-ος,Male
863,Ζαφείρω,Ζαφείρω,Ζα-φεί-ρω,Female
864,Ζαφειρία,Ζαφειρία,Ζα-φει-ρία,Female
865,Ζαχάρω,Ζαχάρω,Ζα-χά-ρω,Female
866,Ζαχαρένια,Ζαχαρένια,Ζα-χα-ρέ-νια,Female
867,Ζαχαρίας,Ζαχαρία,Ζα-χα-ρίας,Male
868,Ζαχαρίτσα,Ζαχαρίτσα,Ζα-χα-ρί-τσα,Female
869,Ζαχαρούλα,Ζαχαρούλα,Ζα-χα-ρού-λα,Female
870,Ζελίνα,Ζελίνα,Ζε-λί-να,Female
871,Ζηνάς,Ζηνάς,Ζη-νάς,Male
872,Ζηναΐδα,Ζηναΐδα,Ζη-να-ΐ-δα,Female
873,Ζηναΐς,Ζηναΐς,Ζη-να-ΐς,Female
874,Ζηνοβής,Ζηνοβής,Ζη-νο-βής,Male
