Άγγελος;Άγγελε;Άγ-γε-λος
Αριστοτέλης;Αριστοτέλη;Α-ρι-στο-τέ-λης
Αριστούλα;Αριστούλα;Α-ρι-στού-λα
Αριστόβουλος;Αριστόβουλε;Α-ρι-στό-βου-λος
Αριστόκλεος;Αριστόκλεε;Α-ρι-στό-κλε-ος
Αρκάδα;Αρκάδα;Αρ-κά-δα
Αρκάδης;Αρκάδη;Αρ-κά-δης
Αρκάδιος;Αρκάδιε;Αρ-κά-δι-ος
Αρκαδία;Αρκαδία;Αρ-κα-δία
Αρμονία;Αρμονία;Αρ-μο-νία
Αρμόδης;Αρμόδη;Αρ-μό-δης
Αρμόδιος;Αρμόδιε;Αρ-μό-δι-ος
Αρρειανός;Αρρειανέ;Αρ-ρειανός
Αρριανή;Αρριανή;Αρ-ρια-νή
Αρριανός;Αρριανέ;Αρ-ρια-νός
Αρσένης;Αρσένη;Αρ-σέ-νης
Αρσένιος;Αρσένιε;Αρ-σέ-νι-ος
Αρσίνα;Αρσίνα;Αρ-σί-να
Αρσενία;Αρσενία;Αρ-σε-νία
Αρσινόη;Αρσινόη;Αρ-σι-νόη
Αρχέλαος;Αρχέλαε;Αρ-χέ-λα-ος
Αρχοντή;Αρχοντή;Αρ-χο-ντή
Αρχοντής;Αρχοντής;Αρ-χο-ντής
Αρχοντία;Αρχοντία;Αρ-χο-ντία
Αρχοντίων;Αρχοντίων;Αρ-χο-ντί-ων
Αρχοντίωνας;Αρχοντίωνα;Αρ-χο-ντί-ω-νας
Αρχοντούλα;Αρχοντούλα;Αρ-χο-ντού-λα
Αρχόντισσα;Αρχόντισσα;Αρ-χό-ντισ-σα
Αρχόντω;Αρχόντω;Αρ-χό-ντω
Ασημάκης;Ασημάκη;Α-ση-μά-κης
Ασημίνα;Ασημίνα;Α-ση-μί-να
Ασκληπιάδα;Ασκληπιάδα;Α-σκλη-πιά-δα
Ασκληπιάς;Ασκληπιάς;Α-σκλη-πιάς
Ασκληπιός;Ασκληπιέ;Α-σκλη-πι-ός
Ασπασία;Ασπασία;Α-σπα-σία
Αστέρης;Αστέρη;Α-στέ-ρης
Αστέριος;Αστέριε;Α-στέ-ρι-ος
Αστέρω;Αστέρω;Α-στέ-ρω
Αστερία;Αστερία;Α-στε-ρία
Αστερινή;Αστερινή;Α-στε-ρι-νή
Αστερινός;Αστερινέ;Α-στε-ρι-νός
Αστρινή;Αστρινή;Α-στρι-νή
Αστρινός;Αστρινέ;Α-στρι-νός
Αστρούλα;Αστρούλα;Α-στρού-λα
Αυγέρας;Αυγέρα;Αυ-γέ-ρας
Αυγέρης;Αυγέρη;Αυ-γέ-ρης
Αυγέρου;Αυγέρου;Αυ-γέ-ρου
Αυγή;Αυγή;Αυ-γή
Αυγίτης;Αυγίτη;Αυ-γί-της
Αυγερινός;Αυγερινέ;Αυ-γε-ρι-νός
Αυγερού;Αυγερού;Αυ-γε-ρού
Αυγουστίνα;Αυγουστίνα;Αυ-γου-στί-να
Αυγουστίνος;Αυγουστίνο;Αυ-γου-στί-νος
Αυγούλα;Αυγούλα;Αυ-γού-λα
Αυγούστα;Αυγούστα;Αυ-γού-στα
Αυξέντης;Αυξέντη;Αυ-ξέ-ντης
Αυξέντιος;Αυξέντιε;Αυ-ξέ-ντι-ος
Αυξεντία;Αυξεντία;Αυ-ξε-ντία
Αυξεντούλα;Αυξεντούλα;Αυ-ξε-ντού-λα
Αφθονία;Αφθονία;Α-φθο-νία
Αφθόνιος;Αφθόνιε;Α-φθό-νι-ος
Αφροδίσιος;Αφροδίσιε;Α-φρο-δί-σι-ος
Αφροδίτη;Αφροδίτη;Α-φρο-δί-τη
Αφροδισία;Αφροδισία;Α-φρο-δι-σία
Αχίλειος;Αχίλειε;Α-χί-λει-ος
Αχίλιος;Αχίλιε;Α-χί-λι-ος
Αχίλλειος;Αχίλλειε;Α-χίλ-λει-ος
Αχίλλιος;Αχίλλιε;Α-χίλ-λι-ος
Αχιλλέας;Αχιλλέα;Α-χιλ-λέ-ας
Αχιλλεύς;Αχιλλεύς;Α-χιλ-λεύς
Αχμέτ;Αχμέτ;Α-χμέτ
Αύγουστος;Αύγουστε;Αύ-γου-στος
Αύρα;Αύρα;Αύ-ρα
Βάγγος;Βάγγο;Βάγ-γος
Βάγια;Βάγια;Βά-για
Βάια;Βάια;Βάι-α
Βάιος;Βάιο;Βάι-ος
Βάκχη;Βάκχη;Βάκ-χη
Βάκχος;Βάκχο;Βάκ-χος
Βάλια;Βάλια;Βά-λια
Βάλιος;Βάλιε;Βά-λι-ος
Βάσια;Βάσια;Βά-σια
Βάσος;Βάσο;Βά-σος
Βάσω;Βάσω;Βά-σω
Βέρα;Βέρα;Βέ-ρα
Βέτα;Βέτα;Βέ-τα
Βέτη;Βέτη;Βέ-τη
Βέττη;Βέττη;Βέτ-τη
Βήλη;Βήλη;Βή-λη
Βίβιαν;Βίβιαν;Βί-βιαν
Βίβος;Βίβο;Βί-βος
Βίκτορας;Βίκτορα;Βί-κτο-ρας
Βίκτωρ;Βίκτωρ;Βί-κτωρ
Βίκτωρας;Βίκτωρα;Βί-κτω-ρας
Βίκυ;Βίκυ;Βί-κυ
Βίλια;Βίλια;Βί-λια
Βαία;Βαία;Βαί-α
Βαγγέλης;Βαγγέλη;Βαγ-γέ-λης
Βαγγελίτσα;Βαγγελίτσα;Βαγ-γε-λί-τσα
Βαγγελιώ;Βαγγελιώ;Βαγ-γε-λι-ώ
Βακχία;Βακχία;Βακ-χία
Βαλάντα;Βαλάντα;Βα-λά-ντα
Βαλάντης;Βαλάντη;Βα-λά-ντης
Βαλάντιος;Βαλάντιε;Βα-λά-ντι-ος
Βαλάντος;Βαλάντο;Βα-λά-ντος
Βαλάντω;Βαλάντω;Βα-λά-ντω
Βαλέρια;Βαλέρια;Βα-λέ-ρια
Βαλέριος;Βαλέριε;Βα-λέ-ρι-ος
Βαλεντίνα;Βαλεντίνα;Βα-λε-ντί-να
Βαλεντίνη;Βαλεντίνη;Βα-λε-ντί-νη
Βαλεντίνο;Βαλεντίνο;Βα-λε-ντί-νο
Βαλεντίνος;Βαλεντίνο;Βα-λε-ντί-νος
Βαλεντίων;Βαλεντίων;Βα-λε-ντί-ων
Βαλεριάνα;Βαλεριάνα;Βα-λε-ριά-να
Βαλεριανός;Βαλεριανέ;Βα-λε-ρια-νός
Βαλσάμω;Βαλσάμω;Βαλ-σά-μω
Βαλσαμία;Βαλσαμία;Βαλ-σα-μία
Βαρβάρα;Βαρβάρα;Βαρ-βά-ρα
Βαρβάρω;Βαρβάρω;Βαρ-βά-ρω
Βαρβαρίτσα;Βαρβαρίτσα;Βαρ-βα-ρί-τσα
Βαρβαρούλα;Βαρβαρούλα;Βαρ-βα-ρού-λα
Βαρθολομαίος;Βαρθολομαίο;Βαρ-θο-λο-μαί-ος
Βαρνάβας;Βαρνάβα;Βαρ-νά-βας
Βαρσάμης;Βαρσάμη;Βαρ-σά-μης
Βαρσάμω;Βαρσάμω;Βαρ-σά-μω
Βαρσαμία;Βαρσαμία;Βαρ-σα-μία
Βαρσιμαίος;Βαρσιμαίο;Βαρ-σι-μαί-ος
Βασίλας;Βασίλα;Βα-σί-λας
Βασίλειος;Βασίλειε;Βα-σί-λει-ος
Βασίλης;Βασίλη;Βα-σί-λης
Βασίλισσα;Βασίλισσα;Βα-σί-λισ-σα
Βασιλίνα;Βασιλίνα;Βα-σι-λί-να
Βασιλεία;Βασιλεία;Βα-σι-λεία
Βασιλική;Βασιλική;Βα-σι-λι-κή
Βασούλα;Βασούλα;Βα-σού-λα
Βεατρίκη;Βεατρίκη;Βε-α-τρί-κη
Βελισάριος;Βελισάριε;Βε-λι-σά-ρι-ος
Βενέδικτος;Βενέδικτε;Βε-νέ-δι-κτος
Βενέτιος;Βενέτιε;Βε-νέ-τι-ος
Βενεδίκτη;Βενεδίκτη;Βε-νε-δί-κτη
Βενεδικτίνα;Βενεδικτίνα;Βε-νε-δι-κτί-να
Βενεδικτίνη;Βενεδικτίνη;Βε-νε-δι-κτί-νη
Βενετία;Βενετία;Βε-νε-τία
Βενιαμίν;Βενιαμίν;Βε-νια-μίν
Βενιζέλος;Βενιζέλο;Βε-νι-ζέ-λος
Βερίνα;Βερίνα;Βε-ρί-να
Βερίνη;Βερίνη;Βε-ρί-νη
Βερενίκη;Βερενίκη;Βε-ρε-νί-κη
Βερονίκη;Βερονίκη;Βε-ρο-νί-κη
Βερούλα;Βερούλα;Βε-ρού-λα
Βερούλη;Βερούλη;Βε-ρού-λη
Βερόνικα;Βερόνικα;Βε-ρό-νι-κα
Βηθεσδά;Βηθεσδά;Βη-θεσ-δά
Βηθλεέμ;Βηθλεέμ;Βη-θλε-έμ
Βησσαρία;Βησσαρία;Βησ-σα-ρία
Βησσαρίων;Βησσαρίων;Βησ-σα-ρί-ων
Βησσαρίωνας;Βησσαρίωνα;Βησ-σα-ρί-ω-νας
Βιβή;Βιβή;Βι-βή
Βιβιάνα;Βιβιάνα;Βι-βιά-να
Βιβιανή;Βιβιανή;Βι-βια-νή
Βιβιανός;Βιβιανέ;Βι-βια-νός
Βικέντης;Βικέντη;Βι-κέ-ντης
Βικέντιος;Βικέντιε;Βι-κέ-ντι-ος
Βικεντία;Βικεντία;Βι-κε-ντία
Βικτορία;Βικτορία;Βι-κτο-ρία
Βικτωρία;Βικτωρία;Βι-κτω-ρία
Βιολέτα;Βιολέτα;Βι-ο-λέ-τα
Βιργινία;Βιργινία;Βιρ-γι-νία
Βλάσης;Βλάση;Βλά-σης
